id,category,relative_path,source_path,extension,size_bytes,size_human,converted_exists,chunked_exists,status,indexed_at
285,UVA,UVA/ISSS4063/Fear and Loathing in America Text/Fear_and_Loathing_in_America_Part3_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in America Text\Fear_and_Loathing_in_America_Part3_of_3.txt,.txt,652798,637.5 KB,False,False,pending,2026-03-20T15:19:38
286,UVA,UVA/ISSS4063/Fear and Loathing in America Text/Full_Text.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in America Text\Full_Text.txt,.txt,1958717,1.9 MB,False,False,pending,2026-03-20T15:19:38
287,UVA,UVA/ISSS4063/Fear and Loathing in America Text/Split_Summary.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in America Text\Split_Summary.txt,.txt,813,813.0 B,False,False,pending,2026-03-20T15:19:38
253,UVA,UVA/ISSS4063/Fear and Loathing in America.epub,D:\Books\UVA\ISSS4063\Fear and Loathing in America.epub,.epub,5388671,5.1 MB,False,False,pending,2026-03-20T15:19:38
288,UVA,UVA/ISSS4063/Fear and Loathing in Las Vegas Text/Fear and Loathing in Las Vegas_Full_Text.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in Las Vegas Text\Fear and Loathing in Las Vegas_Full_Text.txt,.txt,339154,331.2 KB,False,False,pending,2026-03-20T15:19:38
289,UVA,UVA/ISSS4063/Fear and Loathing in Las Vegas Text/Fear and Loathing in Las Vegas_Part1_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in Las Vegas Text\Fear and Loathing in Las Vegas_Part1_of_3.txt,.txt,112852,110.2 KB,False,False,pending,2026-03-20T15:19:38
290,UVA,UVA/ISSS4063/Fear and Loathing in Las Vegas Text/Fear and Loathing in Las Vegas_Part2_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in Las Vegas Text\Fear and Loathing in Las Vegas_Part2_of_3.txt,.txt,113102,110.5 KB,False,False,pending,2026-03-20T15:19:38
291,UVA,UVA/ISSS4063/Fear and Loathing in Las Vegas Text/Fear and Loathing in Las Vegas_Part3_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in Las Vegas Text\Fear and Loathing in Las Vegas_Part3_of_3.txt,.txt,113204,110.6 KB,False,False,pending,2026-03-20T15:19:38
292,UVA,UVA/ISSS4063/Fear and Loathing in Las Vegas Text/Fear and Loathing in Las Vegas_Split_Summary.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in Las Vegas Text\Fear and Loathing in Las Vegas_Split_Summary.txt,.txt,1443,1.4 KB,False,False,pending,2026-03-20T15:19:38
293,UVA,UVA/ISSS4063/Fear and Loathing on the Campaign Trail '72 Text/Campaign_Trail_72_Full_Text.txt,D:\Books\UVA\ISSS4063\Fear and Loathing on the Campaign Trail '72 Text\Campaign_Trail_72_Full_Text.txt,.txt,991943,968.7 KB,False,False,pending,2026-03-20T15:19:38
294,UVA,UVA/ISSS4063/Fear and Loathing on the Campaign Trail '72 Text/Campaign_Trail_72_Part1_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing on the Campaign Trail '72 Text\Campaign_Trail_72_Part1_of_3.txt,.txt,330641,322.9 KB,False,False,pending,2026-03-20T15:19:38
295,UVA,UVA/ISSS4063/Fear and Loathing on the Campaign Trail '72 Text/Campaign_Trail_72_Part2_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing on the Campaign Trail '72 Text\Campaign_Trail_72_Part2_of_3.txt,.txt,330649,322.9 KB,False,False,pending,2026-03-20T15:19:38
296,UVA,UVA/ISSS4063/Fear and Loathing on the Campaign Trail '72 Text/Campaign_Trail_72_Part3_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing on the Campaign Trail '72 Text\Campaign_Trail_72_Part3_of_3.txt,.txt,330657,322.9 KB,False,False,pending,2026-03-20T15:19:38
297,UVA,UVA/ISSS4063/Fear and Loathing on the Campaign Trail '72 Text/Campaign_Trail_72_Split_Summary.txt,D:\Books\UVA\ISSS4063\Fear and Loathing on the Campaign Trail '72 Text\Campaign_Trail_72_Split_Summary.txt,.txt,1443,1.4 KB,False,False,pending,2026-03-20T15:19:38
256,UVA,UVA/ISSS4063/Fear and Loathing on the Campaign Trail '72.epub,D:\Books\UVA\ISSS4063\Fear and Loathing on the Campaign Trail '72.epub,.epub,8523166,8.1 MB,False,False,pending,2026-03-20T15:19:38
255,UVA,UVA/ISSS4063/Fear and loathing in Las Vegas.epub,D:\Books\UVA\ISSS4063\Fear and loathing in Las Vegas.epub,.epub,2132784,2.0 MB,False,False,pending,2026-03-20T15:19:38
298,UVA,UVA/ISSS4063/Generation of Swine -Tales of Shame and Degradation Text/Generation_of_Swine_Full_Text.txt,D:\Books\UVA\ISSS4063\Generation of Swine -Tales of Shame and Degradation Text\Generation_of_Swine_Full_Text.txt,.txt,652080,636.8 KB,False,False,pending,2026-03-20T15:19:38
